Country,LifeExpectancy,Income,Population,Region
Uruguay,77.1,19929,3419516,America
Armenia,74.1,7763,3006154,Europe & Central Asia
Lithuania,75.2,25708,2916798,Europe & Central Asia
Mongolia,65,11509,2909871,East Asia & Pacific
Albania,75.9,10160,2889676,Europe & Central Asia
Jamaica,75.5,8462,2783301,America
Namibia,60.8,9506,2402858,Sub-Saharan Africa
Botswana,66.1,16725,2219937,Sub-Saharan Africa
Qatar,81.9,133563,2172065,Middle East & North Africa
Lesotho,48.4,2494,2109197,Sub-Saharan Africa
Macedonia,76.8,12096,2075625,Europe & Central Asia
Slovenia,80.1,28059,2066068,Europe & Central Asia
Latvia,75.5,22460,1989354,Europe & Central Asia
Gambia,64.7,1555,1928201,Sub-Saharan Africa
Guinea-Bissau,53.1,1363,1800513,Sub-Saharan Africa
Gabon,59.81,17912,1687673,Sub-Saharan Africa
Bahrain,79.1,43963,1361930,Middle East & North Africa
Trinidad and Tobago,71.3,29820,1354483,America
Estonia,76.7,25865,1316203,Europe & Central Asia
Swaziland,51.1,6058,1269112,Sub-Saharan Africa
Mauritius,73.6,17731,1268567,Sub-Saharan Africa
Timor-Leste,71.9,2173,1157360,East Asia & Pacific
Cyprus,82.4,29673,1153658,Europe & Central Asia
Fiji,66.2,7735,886450,East Asia & Pacific
Djibouti,64.01,3016,876174,Middle East & North Africa
Equatorial Guinea,59.71,30783,820885,Sub-Saharan Africa
Comoros,63.9,1459,769991,Sub-Saharan Africa
Bhutan,69.8,7500,765008,South Asia
Guyana,64.2,6545,763893,America
Montenegro,75.7,14358,625292,Europe & Central Asia
Solomon Islands,63.9,2030,572171,East Asia & Pacific
Luxembourg,81.1,88203,556573,Europe & Central Asia
Suriname,70.3,16649,538248,America
Cape Verde,74.4,6343,513906,Sub-Saharan Africa
Malta,82.1,29508,417723,Europe & Central Asia
Brunei,78.7,72219,417394,East Asia & Pacific
Bahamas,72.4,22439,383054,America
Maldives,79.4,14095,357415,South Asia
Belize,70,8418,351706,America
Iceland,82.8,41237,327318,Europe & Central Asia
Barbados,75.7,12829,283380,America
Vanuatu,64.8,2837,258883,East Asia & Pacific
Samoa,72,5525,191845,East Asia & Pacific
Sao Tome and Principe,68.6,2923,186342,Sub-Saharan Africa
St. Lucia,74.5,9917,183645,Sub-Saharan Africa
Kiribati,62.2,1822,110470,East Asia & Pacific
St. Vincent and the Grenadines,72.8,10131,109360,America
Grenada,71.6,11400,106349,America
Tonga,70.4,4962,105586,East Asia & Pacific
Federated States of Micronesia,66.9,3475,104044,East Asia & Pacific
Seychelles,73.5,25038,95868,Sub-Saharan Africa
Antigua and Barbuda,75.2,20797,90900,America
Andorra,84,44929,72786,Europe & Central Asia
Dominica,74.5,10207,72341,America
Marshall Islands,64.9,3638,52898,East Asia & Pacific
Taiwan,79.5,41376,,East Asia & Pacific
